mal_id,title,title_english,title_japanese,type,episodes,status,score,rank,popularity,members,favorites,synopsis,genres,themes,demographics,studios,year,url
1772,Seishoujo Kantai Virgin Fleet,Virgin Fleet,聖少女艦隊バージンフリート,OVA,3.0,Finished Airing,5.16,13204.0,10854,2904,0,"In the pre-WWII era, Nakano Naval Academy's special school for girls is codenamed ""Virgin Fleet"". These girls are gifted with a special form of power known as ""Virgin Energy"". With the fear of another Russo-Japanese war imminent, rookie pilot Shiokaze Umino must hone her powers to save Japan from complete destruction.

(Source: AniDB)","Fantasy, Sci-Fi","Military, School",,AIC,,https://myanimelist.net/anime/1772/Seishoujo_Kantai_Virgin_Fleet
1773,Hokuto no Ken: Raoh Gaiden Junai-hen,Fist of the North Star: Raoh Side Story Junai Arc,真救世主伝説 北斗の拳 ラオウ伝 殉愛の章,Movie,1.0,Finished Airing,7.45,2177.0,6242,12577,20,"Kenshiro is the heir of the legendary martial arts known as Hokuto Shinken, which can kill a man with a single blow, by striking the pressure points in the enemy's body. Hokuto Shinken can be passed only to one successor at a time. When he was chosen as the successor, he parted ways with his brothers, Toki and Raoh. The former decided to use what he knew of the art to cure people... while the latter has chosen to use his supreme strength to install peace in the world by power. 
Kenshiro is accompanied by Lynn and Bart, and the movie's story begins when an overlord starts kidnapping children to use them as slaves for building his own pyramid... 

(Source: AniDB)","Action, Adventure",Martial Arts,Shounen,TMS Entertainment,,https://myanimelist.net/anime/1773/Hokuto_no_Ken__Raoh_Gaiden_Junai-hen
1774,Heat Guy J: Toriko - Angel,HeatGuy J: Angel,ヒートガイジェイ虜 -ANGEL-,Special,1.0,Finished Airing,6.89,4954.0,10826,2931,1,"Episode 14.5

In the city of Judoh, Claire Leonelli has inherited leadership of the Mafia group ""Vampire"" following the death of his father. To keep Claire's and other criminal activities in check, the city's Bureau of Urban Safety has Special Services Division operative Daisuke Aurora and the super android codenamed ""J"" (whose identity is apparently kept in secrecy, as androids are banned in the city). With both of them around, crime now has little room to breathe in Judoh.

(Source: ANN)","Action, Adventure, Sci-Fi","Mecha, Organized Crime",,Satelight,,https://myanimelist.net/anime/1774/Heat_Guy_J__Toriko_-_Angel
1775,Jikuu Tenshou Nazca,Dimension Movement of Nazca,時空転抄ナスカ,TV,12.0,Finished Airing,5.51,12265.0,7258,8754,16,"Miura Kyoji, a dedicated kendo student, discovers that his shisho (master) Tate Masanari is a reincarnated Incan warrior named Yawaru who wishes to destroy the world to purify it. Kyoji himself is the warrior Bilka, who foiled Yawaru's plans in their previous lives. Yawaru gathers other awakened spirits to release the powers of nature. Now Kyoji must wrestle with his own fate and decide if he is merely a vessel for the reincarnated soul or if he is truly Miura Kyoji and which will be better able to save the world and the future as he knows it. 

(Source: ANN)","Action, Adventure, Drama, Fantasy",Reincarnation,,Radix,1998.0,https://myanimelist.net/anime/1775/Jikuu_Tenshou_Nazca
1776,Bulg-eunmae,Red Hawk - Weapon Of Death,붉은매,Movie,1.0,Finished Airing,5.5,12300.0,13097,1472,1,"Gang terror and chaos reign in the land of Chungwon. The Camelia Blossoms are the most powerful of the warring gangs and they use this time of unrest to wrestle control of the country from the ailing peoples government, while also producing counterfeit gold coins to cripple the struggling economy. The only hope of freedom lies with the enigmatic Red Hawk.

(Source: ANN)",,"Martial Arts, Super Power",,,,https://myanimelist.net/anime/1776/Bulg-eunmae
1777,Kaze no Tairiku,The Weathering Continent,風の大陸,Movie,1.0,Finished Airing,6.17,9098.0,7523,7949,16,"Three adventurers—a warrior, a priest, and a young woman—traverse a land devastated by centuries of environmental calamities searching only for a way to survive. In their journeys they stumble across first the remains of a band of desperate treasure-hunters, and then the treasure they were seeking: Azec Sistra, the legendary City of the Dead. Unfortunately, the bandits responsible for slaughtering the treasure-hunters have also found their way to the city, but more worrisome still are the guardians which protect Azec Sistra from those who would violate the spirits at rest there...

(Source: ANN)","Action, Adventure, Fantasy, Supernatural",,,Production I.G,,https://myanimelist.net/anime/1777/Kaze_no_Tairiku
1778,Dae Jang Geum: Jang Geum's Dream,,少女チャングムの夢,TV,26.0,Finished Airing,7.25,3152.0,9019,5097,41,"Story is about the girl Jang Geum who wants to be a cook. She gets accepted as a palace servant. Clever and cheerful Jang Geum quickly finds friends. But all to soon she encounters intrigue and corruption. 

A Korean/Japanese joint production.","Adventure, Comedy, Gourmet",Historical,,,2005.0,https://myanimelist.net/anime/1778/Dae_Jang_Geum__Jang_Geums_Dream
1779,Bakunyuu Shimai,Bomb Milk Sisters,爆乳姉妹,OVA,2.0,Finished Airing,6.19,,9040,5079,14,"One night, whilst impoverished student Tashiro Shinji was sleeping in his apartment, a beautiful and naked girl appeared in a flash of light. In fact, she's actually an alien named Julia who is searching for her elder sister.

(Source: AnimeNfo)",Hentai,,,Y.O.U.C,,https://myanimelist.net/anime/1779/Bakunyuu_Shimai
1780,Choukou Tenshi Escalayer,Beat Angel Escalayer,超昂天使エスカレイヤー,OVA,3.0,Finished Airing,6.5,,6514,11378,38,"Sayuka Kouenji, is the Escalayer, guardian of the Earth against the dark forces of the Dielast. By her side is the android Madoka, and it is Madoka's job to track and recharge the source of Sayuka's power, the Doki Doki Dynamo. Located within Sayuka's body, the Doki Doki Dynamo can only be recharged when Sayuka experiences a high level of sexual arousal which, until recently, Madoka has been able to provide her. With unacceptably low energy levels facing them, Madoka brings in the assistance of Kyohei Yanase, a boy from Sayuka's school. Kyohei once harboured a crush for Sayuka, and his sexual prowess could not have come sooner. For now arrayed against these three defenders of the Earth is the Dielast version of the escalayer, the FM77, who is ruthless in combat, and brimming with violent desire.

(Source: ANN)","Sci-Fi, Hentai","Mythology, Super Power",,Chaos Project,,https://myanimelist.net/anime/1780/Choukou_Tenshi_Escalayer
1781,Hi.Me.Go.To,,Hi・Me・Go・To,OVA,1.0,Finished Airing,6.2,,9068,5038,13,"Takashi has a loving girlfriend, but when it comes time to do the dirty deed, he finds himself unable to perform. On a train ride following this incident, Takashi discovers his teacher, Misaki, getting touched by a subway groper. Strangely though, instead of getting upset, Misaki seems to be enjoying it. And much to his own surprise, Takashi does too.

Thus begins Takashi's journey as a pupil to his teacher in a most carnal sense when they meet on the train every morning. As he explores his desires with his teacher, Takashi becomes a more confident lover. But will his new knowledge help Takashi become closer to his beloved girlfriend? Or scare her away?",Hentai,,,Chaos Project,,https://myanimelist.net/anime/1781/HiMeGoTo
1782,Hyakki,Hyakki: The Secret of Devil's Island,百鬼,OVA,3.0,Finished Airing,5.54,,10392,3322,6,"A group of young adults have decided to travel to a mysterious island through a tour line. The island has been deserted of human life and the ruins of a once promising city continue to decay. Each of the group members have a reason to visit the island, including returning to their former homes or embarking on a scavenger hunt. During their visit, strange events start to take place and past memories and sexual emotions began to surface among the group. The tour takes a turn for the worst when several of tourists are found murdered, showing that someone remains on the desolated island.

(Source: ANN)","Horror, Hentai",,,Arms,,https://myanimelist.net/anime/1782/Hyakki
1783,Imouto Jiru,Younger Sister Juice,妹汁,OVA,2.0,Finished Airing,6.36,,6701,10609,40,"Akira's father, an archaeologist, has remarried, giving him a new stepmother and three stepsisters, Yuki, Nana and Miu. While on his honeymoon, Akira's father makes an archaeological find and decides to stay on site in order to supervise and leaving Akira at home alone with his new family members. After being discovered in bed with Yukie, his stepmother, Akira finds a box containing a scroll and three bottles. Using the knowledge his father taught to him, he reads the Sumarian language on the scroll and finds himself in a contract with the goddess Inana, who tells him to collect the love juices of his sisters in the bottles before the next full moon or else a terrible horror will befall him.

(Source: ANN)",Hentai,,,T-Rex,,https://myanimelist.net/anime/1783/Imouto_Jiru
1784,Injuu Nerawareta Hanayome,Bride of Darkness,淫獣　ねらわれた花嫁,OVA,2.0,Finished Airing,5.32,,11924,2118,5,"A young servant, Sanshiro, who has fallen in love with his master's daughter, Momoyo, tortures himself with lustful thoughts as he spies on the buxom young woman from a hole in her ceiling. Full of despair on the day her fiancée returns from abroad to take her away, Sanshiro watches in amazement as Momoyo and her fiancée engage in some depraved S&amp;M activities with each other and various members of the house. As time passes, Sanshiro becomes convinced that these bizarre rituals are designed to summon some sort of demon, and he takes it upon himself to stop Momoyo's fiancée from destroying the woman he loves.

(Source: ANN)",Hentai,,,PP Project,,https://myanimelist.net/anime/1784/Injuu_Nerawareta_Hanayome
1785,Little Monica Monogatari,The Story of Little Monica,リトルモニカ物語,OVA,2.0,Finished Airing,6.42,,6979,9663,24,"Will, an orphan originally from Little Monica, a city of culture and arts, returns to a place he hasn't been in since his childhood to contribute to it and have a reunion with his childhood friend, Celia. What he doesn't know is that during his long absence, things have changed for the worse and Little Monica, once a city of high culture has become a capital of degeneration. The question is can Will resist the temptations offered by the city or will he succumb to it. With a little help from Celia and her sisters Tina and Mei, as well Miss Meow, they just might succeed in returning Little Monica to its former glory.

(Source: ANN)",Hentai,,,Y.O.U.C,,https://myanimelist.net/anime/1785/Little_Monica_Monogatari
1786,Sprite: Between Two Worlds,Sprite: Between Two Worlds,真奈美＆ナミ スプライト,OVA,2.0,Finished Airing,5.6,11989.0,10095,3629,2,"Lately, shy Manami has been flirting outrageously and sparking vicious cat-fights! Afterwards, she remembers nothing. Can it be that another personality seethes beneath her own? A wild woman who’ll do anything to find trouble?

(Source: AniDB)","Comedy, Romance, Ecchi",School,Seinen,J.C.Staff,,https://myanimelist.net/anime/1786/Sprite__Between_Two_Worlds
1787,Viper GTS,Viper GTS,Viper GTS,OVA,3.0,Finished Airing,6.97,,5914,14406,115,"Carrera is a female demon whose job is to create a wish granting contract with a human being in exchange for their soul. Along with her partners/rivals Mercedes and Rati, they carry out this job for the benefit of the demon world. When Carrera is summoned by the nerdy Ogawa, she finds him to be more interesting than her previous clients and develops a crush. Mercedes tries to get involved with Ogawa also to compete with Carrera. However, the female angels are upset by this disturbance and are willing to purify the demons with their precious ""holy water"" to save Ogawa's soul.

(Source: ANN)",Hentai,Mythology,,Studio G-1Neo,,https://myanimelist.net/anime/1787/Viper_GTS
1788,Yuuguu Settai: Kotou no Gokuraku e Youkoso,Fruits Cup,優遇接待～孤島の極楽へようこそ～,OVA,2.0,Finished Airing,5.6,,9275,4695,8,"Riku Ohmi can fool every girl some of the time, he can fool some girls all of the time, and he can fool all the girls into his bed at the same time. Riku was asked to help with the girl's swim team's summer training when he finds some dirty videos of the girls, Yoshino, Nagisa, and Matsuri. Not content to stick with the videos, he uses them as a leverage to score some real action.

(Source: ANN)",Hentai,,,Shinkuukan,,https://myanimelist.net/anime/1788/Yuuguu_Settai__Kotou_no_Gokuraku_e_Youkoso
1789,Argento Soma: Hitori to Hitori,,アルジェントソーマ 孤独[ひとり]と孤独[ひとり],Special,1.0,Finished Airing,6.33,8178.0,9617,4203,1,"The pilot Sue Harris goes to a mission on a frozen country, there she suffers an accident on the mountains and her life is in severe danger. Trying to survive on the harsh enviroment, she encounters an alien and engages in combat with it. The two beings will use all means possible to escape of that dead trap alive.","Action, Sci-Fi",Mecha,,Sunrise,,https://myanimelist.net/anime/1789/Argento_Soma__Hitori_to_Hitori
1790,Tactical Roar: Mercurius no Kyuujitsu,,タクティカルロア - マーキュリーズの休日,Special,1.0,Finished Airing,5.78,11222.0,12077,2031,1,DVD special.,"Action, Comedy, Romance, Sci-Fi, Ecchi",Military,,,,https://myanimelist.net/anime/1790/Tactical_Roar__Mercurius_no_Kyuujitsu
1791,Ai Doll,Love Doll,哀・奴隷 （あい・どーる）,OVA,4.0,Finished Airing,5.64,,9472,4399,6,"The story of young Rachel is a sad one. Orphaned as a small child, abused by a jealous rival, and the object of lust by those who are supposed to be caretakers, she still tries to maintain a positive attitude about her future. Aided by her only friend Beth, her budding romance with Prince Andrew falls under jeopardy when a distant relative whisks her away for purposes unknown.

(Source: ANN)","Drama, Hentai",,,Y.O.U.C,,https://myanimelist.net/anime/1791/Ai_Doll
1792,Overman King Gainer,,オーバーマン キングゲイナー,TV,26.0,Finished Airing,6.93,4764.0,5814,15117,45,"Sometime in the distant future, mankind is forced to live in domed cities while the rest of the world is left to recover from years of environmental hardships. In the Siberian Dome-polis, professional gamer Gainer Sanga and mercenary Gain Bijou commandeer an Overman and lead a mass exodus out of the city.

(Source: ANN)","Action, Adventure, Sci-Fi",Mecha,,Sunrise,2002.0,https://myanimelist.net/anime/1792/Overman_King_Gainer
1793,Kaze no Na wa Amnesia,A Wind Named Amnesia,風の名はアムネジア,Movie,1.0,Finished Airing,6.31,8303.0,5010,22207,56,"Two years ago, a mysterious wind swept over the Earth without warning, taking everyone's memories with it. Not knowing their names or even how to speak, cars crashed, planes dropped from the sky, and society crumbled in an instant. One young man happens to wander into a military testing facility, where he meets Johnny, a young boy who underwent experimental memory enhancement treatment and could, therefore, still remember who he was. Johnny names the young man Wataru and teaches him everything that he can before his frail body fails him.

Wataru sets out on a journey to see if he can find other people like him, and in San Francisco, he meets a mysterious silver-haired woman named Sophia, who refuses to speak about her past. Sophia says that she is heading to New York, and decides to travel together with Wataru. As the pair make their way across America, they learn about what has happened to the rest of society, and what the essence of humanity really is.

[Written by MAL Rewrite]","Action, Avant Garde, Drama, Sci-Fi",,,Madhouse,,https://myanimelist.net/anime/1793/Kaze_no_Na_wa_Amnesia
1794,Dirty Pair no Ooshoubu: Nolandia no Nazo,Dirty Pair: Affair of Nolandia,ダーティペアの大勝負 ノーランディアの謎,OVA,1.0,Finished Airing,6.33,8171.0,8219,6426,2,"The Dirty Pair are traveling to the planet of Ookbar in search of a missing girl. Kei and Yuri have traced Missinie to the forest of Nolandia, but their investigations have stalled thanks to the less-than-helpful Chief of Security. But the Dirty Pair have never let a little bureaucracy stand in their way.

(Source: AniDB)","Action, Adventure, Comedy, Sci-Fi",,,Sunrise,,https://myanimelist.net/anime/1794/Dirty_Pair_no_Ooshoubu__Nolandia_no_Nazo
1795,Dirty Pair: Bouryaku no 005-bin,Original Dirty Pair: Flight 005 Conspiracy,ダーティペア　謀略の００５便,OVA,1.0,Finished Airing,6.76,5646.0,8509,5917,3,"It's Chief Gooley's worst nightmare come true. The Lovely Angels are back on the job, but this time the 3WA's Central Computer has assigned them two cases at the same time: investigate a space liner explosion in which three hundred people died, but no one`s come forward to claim any insurance money; and find a missing scientist and his family.

Could the two cases be connected? Only the Central Computer knows and it's not talking. So it's up the Dirty Pair to get down and dirty and solve the puzzle before time runs out for a grieving grandfather, his family and the universe!

(Source: AniDB)","Action, Adventure, Comedy, Sci-Fi",,,Sunrise,,https://myanimelist.net/anime/1795/Dirty_Pair__Bouryaku_no_005-bin
1796,Dirty Pair: The Movie,Dirty Pair: Project Eden,ダーティペア the Movie,Movie,1.0,Finished Airing,7.07,4124.0,6409,11802,44,"Agerna is a planet rich in Vizorium, the one mineral necessary to space travel. So when a series of mysterious attacks on mining operations has the governments of the world pointing fingers and blaming each other, the World Welfare &amp; Works Association naturally sends in their top agents to investigate. But are the lovely angels up to the task of stopping a mad scientist bent on taking a long dormant alien race to its final evolutionary form? Throw in a thief who's hunting a bottle of World War II-vintage wine and it's a safe bet that nobody on the planet is safe. It's more chaos, more mayhem and even more destruction than ever before as the Dirty Pair take on their wildest case yet!

(Source: AniDB)","Action, Adventure, Comedy, Sci-Fi",,,Sunrise,,https://myanimelist.net/anime/1796/Dirty_Pair__The_Movie
1797,Animation Seisaku Shinkou Kuromi-chan,Animation Runner Kuromi,アニメーション制作進行くろみちゃん,OVA,1.0,Finished Airing,6.89,4956.0,6580,11111,15,"Having just graduated from animation school, Mikiko Oguro eagerly arrives at Studio Petit for her first day of work. However, an unfortunate situation suddenly paves the way for the novice animator to become the production manager of Time Journeys: an upcoming TV anime with a tight production schedule. Struggling to pull various creatives together to keep the series on track for broadcasting, Mikiko quickly learns how stressful anime production can be and gets some first-hand experience with the herculean efforts it takes to create a work that can touch viewers' hearts.

[Written by MAL Rewrite]","Comedy, Drama","Adult Cast, Otaku Culture, Parody",,Yumeta Company,,https://myanimelist.net/anime/1797/Animation_Seisaku_Shinkou_Kuromi-chan
1798,Animation Seisaku Shinkou Kuromi-chan 2,Animation Runner Kuromi 2,アニメーション制作進行くろみちゃん 2,OVA,1.0,Finished Airing,6.9,4871.0,7978,6910,3,"After rookie producer Mikiko Oguro manages to guide her team through the production of the anime Time Journeys, the president of Studio Petit announces that the studio will be producing three different shows for the upcoming season. With Mikiko barely able to hold the tiny team together, the president calls in a veteran producer to ease the burden on her shoulders. However, when the new producer starts cutting corners in order to meet the strict deadlines, the team becomes jaded and wonder if they are working on a production they can truly be proud of.

[Written by MAL Rewrite]","Comedy, Drama","Otaku Culture, Parody",,Yumeta Company,,https://myanimelist.net/anime/1798/Animation_Seisaku_Shinkou_Kuromi-chan_2
1799,Battle Fighters Garou Densetsu,Fatal Fury: Legend of the Hungry Wolf,バトルファイターズ餓狼伝説,TV Special,1.0,Finished Airing,6.37,7942.0,6307,12278,16,"Jeff Bogard was a master of the Hakkyokuseiken martial arts school and the guardian of its secret techniques. Coveting this knowledge, Geese Howard, the most powerful man in South Town, challenged and murdered him in front of his adoptive sons Terry and Andy Bogard. Under the guidance of their mentor Tung Fe Rue, the brothers dedicate their lives to training in the ultimate art to avenge their father. 

10 years later, Geese promotes a martial arts tournament known as the King of Fighters. Terry and Andy join their friend Muay Thai champion Joe Higashi and enter the competition in order to finally face Geese in combat.  

[Written by MAL Rewrite]","Action, Adventure, Drama, Romance",Martial Arts,,Studio Comet,,https://myanimelist.net/anime/1799/Battle_Fighters_Garou_Densetsu
1800,Battle Fighters Garou Densetsu 2,Fatal Fury 2: The New Battle,バトルファイターズ餓狼伝説2,TV Special,1.0,Finished Airing,6.68,6115.0,6669,10722,29,"After defeating Geese Howard, legendary fighter Terry Bogard faces German warrior Wolfgang Krauser, only to suffer a humiliating defeat. Depressed by his loss, Terry wanders around the country, wasting his life through drinking. Only a young boy named Tony can convince Terry to go back to his winning ways, conquer his fears, and once again face Krauser.

(Source: ANN)

Based on the Neo Geo SNK video game Fatal Fury 2.","Action, Adventure, Drama",Martial Arts,,Studio Comet,,https://myanimelist.net/anime/1800/Battle_Fighters_Garou_Densetsu_2
1802,Dirty Pair Flash,Dirty Pair Flash,ダーティペアFLASH,OVA,6.0,Finished Airing,6.57,6734.0,6442,11673,25,"Kei and Yuri were originally junior auxiliary agents in the Worlds Works and Welfare Agency (W.W.W.A. or 3WA for short) when the two were paired together under the codename ""Lovely Angels."" Kei was coming off her fourth probation for something she had done, and Yuri's dating exploits were common knowledge, not to mention the two had an instant dislike for each other when they met.

At first, Kei and Yuri refused to work with each other, and Kei even resigned from the 3WA. Afterwards, the two continued to work together, although they earned their nickname, ""the Dirty Pair"" because of all the collateral damage the two (unintentionally) cause in the completion of their cases. And even though the two now get along with one another, they continue to bicker and complain to each other.

Although it is often said that these are younger versions of the original Lovely Angels Kei and Yuri, in truth this series is an alternate universe telling of Dirty Pair, set in the years 2248-49.

(Source: Wikipedia)","Action, Adventure, Comedy, Sci-Fi, Ecchi",,,Sunrise,,https://myanimelist.net/anime/1802/Dirty_Pair_Flash
1803,Dirty Pair: Lovely Angels yori Ai wo Komete,Dirty Pair: With Love From the Lovely Angels,ダーティペア ラブリーエンジェルより愛をこめて,OVA,2.0,Finished Airing,7.06,4178.0,7933,6988,4,"Released direct to video in Japan after the original TV series was canceled, this OVA is actually the final two episodes of the TV series.","Action, Adventure, Comedy, Sci-Fi",,,Sunrise,,https://myanimelist.net/anime/1803/Dirty_Pair__Lovely_Angels_yori_Ai_wo_Komete
1804,Koko wa Green Wood,Here is Greenwood,ここはグリーン・ウッド,OVA,6.0,Finished Airing,6.77,5546.0,6543,11263,36,"Hasukawa Kazuya is in a terrible bind. His brother's new wife is also the woman that Kazuya secretly loves. Determined to avoid them both, Kazuya leaves home to live in the student dorm called Greenwood. There, he hopes to find peace of mind. Unfortunately for Kazuya, stability and peace are the last things one might find at Greenwood - home of the weirdest characters on campus.

(Source: ANN)","Slice of Life, Supernatural",,Shoujo,Pierrot,,https://myanimelist.net/anime/1804/Koko_wa_Green_Wood
1805,Master Mosquiton,Master of Mosquiton,マスターモスキートン,OVA,6.0,Finished Airing,6.65,6253.0,7889,7106,11,"In the 1920's, Inaho resurrects a vampire named Mosquiton with her blood. He awakens and becomes her slave. Now, Inaho is after the O-Part, which will grant her immortality. However, a bunch of supernatural monsters are out to stop them from achieving their goal.

(Source: ANN)","Action, Adventure, Comedy, Supernatural","Mythology, Vampire",,Zero-G Room,,https://myanimelist.net/anime/1805/Master_Mosquiton
1806,Master Mosquiton '99,Master of Mosquiton '99,マスターモスキートン'99,TV,26.0,Finished Airing,6.55,6857.0,8851,5362,5,"Catholic schoolgirl Inaho discovers that a vampire, Mosquiton, is feeding off of her classmates. So she stakes him, but he is revived after her blood comes in contact with the his remains. Mosquiton becomes her slave and also a history teacher. Together, along with Yuuki and Honou, the unlikely duo have many escapades and adventures. One of Inaho's main goals is to find the mythical O-Part to make some money!

(Source: AnimeNfo)","Action, Adventure, Comedy, Supernatural",Vampire,,Radix,1997.0,https://myanimelist.net/anime/1806/Master_Mosquiton_99
1807,Prism Ark,,プリズム・アーク,TV,12.0,Finished Airing,6.39,7870.0,4874,23722,27,"The Sablum Empire has been attempting to take over the kingdom of Windland for many years, and are now plotting with the mercenaries Sister Hell and Darkness Knight to start a new offensive using powerful magical beings called Angels. 

Hyaweh, a carefree yet talented swordsman, and Priecia, who just might be the lost princess of Windland, are enrolled at the Knight's Academy in Windland to hone their skill at swords and sorcery. There they meet many friends and allies who can help them protect their homeland from the impending invasion.","Action, Comedy, Fantasy, Romance","Harem, School",,Front Line,2007.0,https://myanimelist.net/anime/1807/Prism_Ark
1808,Kamichama Karin,,かみちゃまかりん,TV,26.0,Finished Airing,7.18,3518.0,3214,54988,385,"Thirteen-year-old Karin Hanazono feels like her life can't get any worse, Her parents died when she was younger, leaving her with an aunt who doesn't hesitate to call her stupid and useless over her poor grades. Her only friend, her cat named Shii-chan, passed away recently, leaving her completely alone. All she has left of her parents is a ring given to her by her mother, which she treasures dearly as the sole thing left of her past.

Kamichama Karin begins the moment her life takes a turn for the better, when she is approached by Himeka Kuujou, a cute girl who has also lost her parents, and Kazune Kuujou, her cousin who finds girls to be troublesome, both of whom are searching for a goddess. Her mother's memento ring shines brightly in their presence and fills her with its radiance, making her smarter, faster, and capable of granting wishes. It turns out that her ring allows her to become the very goddess they were looking for, and now that she has awakened that power, others will come after her for it…","Comedy, Fantasy, Romance","Mahou Shoujo, School",Shoujo,Satelight,2007.0,https://myanimelist.net/anime/1808/Kamichama_Karin
1810,Kyoushirou to Towa no Sora,Shattered Angels,京四郎と永遠（とわ）の空,TV,12.0,Finished Airing,6.38,7883.0,3602,45126,95,"Kyoshiro to Towa no Sora revolves around the life of Kuu Shiratori, a seemingly normal high school girl who enjoys her school life in the giant city Academia, which is thought of as a symbol of recovery for humanity since already ten years have passed since the greatest disaster mankind had ever seen, occurred. Kuu has recently been having a recurring dream where a prince meets her and takes her away. One day, while all the students at her school are preparing for the upcoming school festival, the prince, whom she has met several times in her dreams, appears. The prince, Kyoshiro Ayanokoji, requests of her just as he had done in Kuu's dreams, ""Let's go... together..."" 

(Source: Wikipedia)","Drama, Fantasy, Romance",,Shounen,TNK,2007.0,https://myanimelist.net/anime/1810/Kyoushirou_to_Towa_no_Sora
1811,Bounty Dog: Getsumen no Eve,,バウンティドッグ~月面のイブ~,OVA,2.0,Finished Airing,5.53,12230.0,9212,4786,5,"In the future, mankind has colonized the bleak expanses of the moon. Cities now stand proudly where there was once only desolation and emptiness. But there are alien forces that do not want mankind to succeed and only one man can stop them. He is a member of the Bounty Dog Investigation Unit, a high-tech cybernetic mercenary team.","Action, Sci-Fi",Space,,animate Film,,https://myanimelist.net/anime/1811/Bounty_Dog__Getsumen_no_Eve
1812,Hanoka,,HANOKA～葉ノ香～,TV,12.0,Finished Airing,3.41,14050.0,8611,5764,19,"Years ago, extraterrestrials known as the Citizens of the Stars descended upon the planet of Tokinea and wreaked havoc on humanity. To fight back against them, the military developed the Majin project to create hybrids between humans and the Citizens of the Stars. With this combination of genes, they hope to exploit both the subservience of man and the powers of the alien.

Majin no.7, a young girl kept under lock and key in a military base, is released after the Citizens of the Stars launch an attack. Despite possessing a plethora of abilities capable of effortlessly eliminating the enemy, she is burdened with doubt on the battlefield. However, when a boy named Yuuri tells her that she must fight to earn her freedom, Majin no. 7 is inspired by his courage and defeats the remaining Citizens of the Stars. The two decide to embark on a journey together, determined to find their calling in a time when humanity knows no peace.

[Written by MAL Rewrite]",Sci-Fi,,,RAMS,2006.0,https://myanimelist.net/anime/1812/Hanoka
1813,Genshiken OVA,,げんしけん OVA,OVA,3.0,Finished Airing,7.62,1527.0,3291,52699,28,"It's the start of a new year for the Genshiken crew, and that means recruiting new members. Always a dreaded task, The Society for the Study of Modern Visual Culture manages to get Chika Ogiue pushed onto them from the Manga Club. With her introduction of ""I'm Ogiue and I hate otaku,"" this year certainly will be anything but boring.

(Source: ANN)",Slice of Life,"Adult Cast, Otaku Culture, Parody",Seinen,Ajia-do,,https://myanimelist.net/anime/1813/Genshiken_OVA
1815,Shakugan no Shana Movie,Shakugan no Shana: The Movie,劇場版 灼眼のシャナ,Movie,1.0,Finished Airing,7.36,2590.0,2953,64918,54,"Crimson Denizens and Rinne, beings from a parallel world, seek to devour humans' precious existences. To restore the delicate balance of the world, Flame Hazes hunt these entities down.

Yet such things are unknown to Yuuji Sakai, who starts his day like any other and heads to school. His day, however, takes a turn for the extraordinary when he witnesses everyone around him freeze in place and is left the only one able to move. Immediately, a Rinne begins devouring the souls of those around him, but as the creature sets its sights on Yuuji, a katana-wielding Flame Haze with blazing red hair saves him.

After his protector fixes the damage done, she explains why Yuuji was able to move: he has become a Torch, a remnant of a dead human being that will eventually fade from memory. Furthermore, he is also a Mystes, a Torch that houses an unknown treasure. Before his flame burns out completely, a Crimson Denizen will try to seize the treasure he holds, so the fiery hunter decides to watch over him. As Yuuji comes to terms with being dead, he resolves to live his life the best he can with the time he has remaining.

[Written by MAL Rewrite]","Action, Fantasy, Romance","School, Urban Fantasy",,J.C.Staff,,https://myanimelist.net/anime/1815/Shakugan_no_Shana_Movie
1816,Sonic X,Sonic X,ソニック X,TV,78.0,Finished Airing,6.61,6508.0,2483,86689,707,"Sonic the Hedgehog's typical irreverence leads to the coveted chaos emeralds being caught in the crossfire and rendered unstable just before activation. The resulting chaos control engulfs everything for miles around Dr. Eggman's base, and, with scrambled input, nobody can predict the outcome. 

Isolated from his friends and enemies alike, Sonic awakes in a strange world: an unknown city surrounded by mysterious people. He realizes he has been warped across the universe to an entirely different planet—Earth. As he rushes to escape the equally confused authorities, Sonic finds himself falling head-first into the pool of the illustrious Thorndyke family. 

Thankfully, Christopher, Thonrdykes' son, saves Sonic and offers protection from a society that mistakenly believes him to be hostile. Sheltered by the family, Sonic resolves to regroup with his friends, save this new world from the threat he brought to them, and find a way home.

[Written by MAL Rewrite]","Action, Adventure, Comedy, Sci-Fi",Anthropomorphic,Kids,TMS Entertainment,2003.0,https://myanimelist.net/anime/1816/Sonic_X
1817,DearS: Kin no Tama desu no?,DearS: Is It a Golden Ball?,金の玉ですの？,Special,1.0,Finished Airing,6.78,5512.0,4613,27171,10,"Miu wins the grand prize in the local shopping district raffle, which is a free pass for up to four people to Yuniataru Studio, a spa resort. She decides to take Takeya, Ren and Neneko since her grandparents couldn't attend.","Comedy, Romance, Sci-Fi, Ecchi",Harem,Shounen,Daume,,https://myanimelist.net/anime/1817/DearS__Kin_no_Tama_desu_no
