mal_id,title,combined_features,url
1728,Super GALS! Kotobuki Ran,"comedy unknown pierrot shoujo tv sporting designer clothes, make-up, and nails, ran kotobuki is the very picture of a trendy, young shibuya girl, but don't let that fool you. this girl comes from a family of cops, and she’s ready to lay you out flat if you even think about causing trouble in her town! at least, she will... when she’s not distracted with karaoke, shopping, and dodging her homework. join ran and her friends as they defend the streets of shibuya and attempt to shop their way into the history books as the most famous gals ever!

(source: rightstuf)",https://myanimelist.net/anime/1728/Super_GALS_Kotobuki_Ran
1729,Maria-sama ga Miteru 3rd,"drama__girls_love school studio_deen shoujo ova summer has arrived, and the students of lillian girls' academy are on break! yumi and sachiko head out to the ogasawara family's summer home, but what was supposed to be a relaxing vacation takes a turn for the worse when some of sachiko's old acquaintances drop by for tea. these rich and snobby debutantes don't think yumi is worthy of sachiko's affection and they're out to make this summer one she'll regret.

(source: rightstuf)",https://myanimelist.net/anime/1729/Maria-sama_ga_Miteru_3rd
1731,Tales of Symphonia The Animation: Sylvarant-hen,"action__adventure__fantasy martial_arts ufotable unknown ova two worlds exist, both unaware of the existance of the other. in order for one world to flourish, the other will have to perish. on the perishing world, a chosen one is sent on a journey to restore that world's mana by awakening the spirits and becoming an angel. colette brunel, the chosen of sylvarant, sets out on her journey accompanied by her best friends lloyd irving and genis sage. as they travel further they meet more friends and even more enemies, while they learn more and more about the truth behind the world regeneration. 

(source: ann)",https://myanimelist.net/anime/1731/Tales_of_Symphonia_The_Animation__Sylvarant-hen
1732,Negima!? Natsu Special!?,"comedy__fantasy__romance__ecchi unknown shaft__gansis shounen ova yue and nodoka are practicing magic, and one spell catches their eye: the red string of fate. supposedly, this spell connects you with your fated partner. nodoka decides to try it out, and ends up tied to negi. however, this spell isn't the red string of fate at all, but is in fact just a red string that connects two people. a magical red string that happens to be impossible to sever. delightful. meanwhile, ayaka invites the class to a free trip to her family's recently constructed spa resort. tied together for at least a day, will negi and nodoka be able to make the most out of this free trip without going too far...?",https://myanimelist.net/anime/1732/Negima_Natsu_Special
1733,eX-Driver: Nina & Rei Danger Zone,"action__sci-fi racing actas unknown movie the story takes place on a world 100 years in the future, a few years before lisa and lorna joined ex-d organization. the world where people drives computer-controlled electrically powered ""ai cars"" which automatically take you where you want to go. however, one ai car mysteriously start to run amok. now nina and rei, as the main driver for ex-d organization have to solve the mystery behind the ai car with evil plot and trap awaiting for them... 

(source: anidb)",https://myanimelist.net/anime/1733/eX-Driver__Nina___Rei_Danger_Zone
1734,Ajimu: Kaigan Monogatari,"comedy__drama__romance music__school actas unknown ona seventeen year old nakaido hirosuke is just your average high school student. one morning as he arrives at the train station on his way to school, he catches sight of a beautiful girl, ajimu yasuna, and immediately falls for her. the two of them get to know each other and become friends, but he can't confess his feelings and she is unsure of hers. as events and other people present obstacles for the potential couple to clear, their relationship begins to develop and their feelings become clear.

(source: ann)",https://myanimelist.net/anime/1734/Ajimu__Kaigan_Monogatari
1735,Naruto: Shippuuden,"action__adventure__fantasy martial_arts pierrot shounen tv it has been two and a half years since naruto uzumaki left konohagakure, the hidden leaf village, for intense training following events which fueled his desire to be stronger. now akatsuki, the mysterious organization of elite rogue ninja, is closing in on their grand plan which may threaten the safety of the entire shinobi world.
 
although naruto is older and sinister events loom on the horizon, he has changed little in personality—still rambunctious and childish—though he is now far more confident and possesses an even greater determination to protect his friends and home. come whatever may, naruto will carry on with the fight for what is important to him, even at the expense of his own body, in the continuation of the saga about the boy who wishes to become hokage.

[written by mal rewrite]",https://myanimelist.net/anime/1735/Naruto__Shippuuden
1736,B'T X Neo,"action__adventure unknown tms_entertainment shounen ova continuation of teppei's journey with b't x to rescue his brother kotaro takamiya from the machine empire. the oav series picks off from the tv series from the point where hokuto successfully saves both teppei and b't x and makes b't x far more powerful than before.

(source: ann)",https://myanimelist.net/anime/1736/BT_X_Neo
1737,Uchuu Senshi Baldios,"action__adventure__drama__sci-fi mecha__space ashi_productions unknown tv after polluting their own planet beyond repair, a race of evil aliens target earth as their next home. now it is up to a lone outcast and his robotic spacecraft, baldios, to defend earth. but, first he must convince the distrusting human population of the impending danger.

(source: ann)",https://myanimelist.net/anime/1737/Uchuu_Senshi_Baldios
1738,Muteki Kanban Musume,"action__comedy martial_arts__parody__workplace telecom_animation_film shounen tv miki onimaru is a poster girl that works at her mother's chinese ramen restaurant. she appears to be a normal girl, but she can become very violent if provoked. she picks a fight with her mother and accquaintances as a result on an almost daily basis, causing a series of troubling mishaps in their otherwise normal lives. 

(source: ann)",https://myanimelist.net/anime/1738/Muteki_Kanban_Musume
1739,Shibawanko no Wa no Kokoro,"unknown educational three-d kids tv based on a japanese children`s book by yoshie kawaura.

shiba-wanko, a shiba-inu dog, and miike-nyanko, a calico cat, live together in a classic japanese-style house with the traditional japanese alcove called a tokonoma. shiba-wanko is a very gentle and hardworking soul who does all of the cleaning, laundry and cooking in the house. miike-nyanko is a different type all together, being rather temperamental and not very good with housework. together, these two learn the manners and customs associated with events such as the proper japanese way to treat one`s guests, preparing for a japanese new year and how to enjoy the kimono, the traditional japanese costume. each chapter covers a specific topic which has to do with living in ""wa"" (the japanese-style spirit of peace and harmony) throughout the changing seasons.

(source: anidb)",https://myanimelist.net/anime/1739/Shibawanko_no_Wa_no_Kokoro
1740,Naikaku Kenryoku Hanzai Kyousei Torishimarikan Zaizen Joutarou,"action__drama__mystery detective trans_arts seinen tv based on ken kitashiba &amp; yasuhiro watanabe's political intrigue detective manga. 

the close relationship between political and business circles doesn't die; politicians and government officers line their pockets taking advantage of their positions. 
zaizen jotaro is an investigator who is allowed to use extralegal methods to crack down these power abusing criminals.

(source: anidb)",https://myanimelist.net/anime/1740/Naikaku_Kenryoku_Hanzai_Kyousei_Torishimarikan_Zaizen_Joutarou
1741,Hit wo Nerae! Specials,comedy__ecchi unknown imagin__studio_live unknown special dvd only specials.,https://myanimelist.net/anime/1741/Hit_wo_Nerae_Specials
1742,Souryuuden,"drama__mystery__supernatural super_power kitty_film_mitaka_studio unknown ova the four ryudo brothers hold an ancient secret -  they are descended from the dragons. they have the speed, strength and  power of their legendary ancestors - and they're getting stronger. but when pushed to the limit, they become the terrifying, uncontrollable dragons of mythology. these powers have attracted the attention of some powerful enemies - shadowy organizations with unlimited resources and weapons who will stop at nothing to control the brothers.

(source: u.s. manga)",https://myanimelist.net/anime/1742/Souryuuden
1743,Super Milk-chan,"action__comedy__sci-fi parody tokyo_kids unknown tv milk-chan is a girl who lives in a house stuck on the side of a building with her two sidekicks: tetsu-ko, a paranoid robot that looks like a bottle and hanage, a green blob with a mustache.

milk is poor and she can't pay the rent, especially after her attempt to extort a local ant family fails. however, she is saved because the president himself offers her a job (some sort of a secret mission). milk-chan answers the phone to receive missions from the president by saying something like ""hello, bank of hokkaido. just kidding!""

after getting her mission, milk-chan and her sidekicks take off aboard the ""milk-6"" helicopter to go on her mission. did i tell you this is a spoof of 1970s spy thrillers or some sort of bond movies?

(source: anidb)",https://myanimelist.net/anime/1743/Super_Milk-chan
1744,Wagamama☆Fairy Mirumo de Pon!,"adventure__comedy__drama__fantasy__romance school studio_hibari shoujo tv kaede is a cheerful and energetic eighth grader. when it comes to boys, however, she is hopelessly shy. 

one day, on her way home from school, kaede walks into a mysterious shop and buys a colorful cocoa mug. when she reaches home, she casually peeks into the bottom of the mug and discovers an engraved note, which says, ""if you read this message aloud while pouring hot cocoa into the mug, a love fairy (""muglox"") will appear and grant your every wish."" the skeptical but curious kaede follows the directions and announces her wish to date yuuki, the class heartthrob. suddenly, the adorable blue mirumo appears! we soon find out, however, that this cute little muglox would rather eat chocolate and create mischief than help kaede. 

mirumo, it seems, is prince of the muglox world. horrified at the prospect of having to marry rirumu, his princess bride-to-be, mirumo has escaped the muglox world. hot on his heels, however, are rirumu, yashichi the bounty hunter, and a cast of hundreds of muglox ranging from the good to the bad to the nutty. this gang of adorable troublemakers will see to it that school life for kaede and her friends is never the same... 

(source: mirmo-zibang)",https://myanimelist.net/anime/1744/Wagamama☆Fairy_Mirumo_de_Pon
1745,Wild 7 Another Bouryaku Unga,"action__adventure__mystery detective__gore e&g_films shounen tv a big transatlantic ship, full of rich and important people for international business, has been taken by a group of terrorists. the only hope for their rescue is in the hands of a japanese man known as japa, but first, he must hire seven companions to help him, and together they will be the wild seven. the main plot occurs in the waters of nicaragua's canal.

(source: ann)",https://myanimelist.net/anime/1745/Wild_7_Another_Bouryaku_Unga
1746,Zoids Fuzors,"action__adventure__sci-fi mecha tokyo_kids unknown tv r.d. is a delivery boy who works for a company called mach storm in order to earn money to search for the legendary alpha zoid. a zoid that he heard rumours about from his dad that he passionately believes in. mach storm also doubles as a zoid battling team. in r.d.'s first coliseum zoid battle, he encounters a team that can fuse zoids. r.d. soon discovers that he has a zoid that can computably fuse with his zoid, liger zero. after this happens r.d.'s adventure to discover the truth about the alpha zoid begins.

(source: ann)",https://myanimelist.net/anime/1746/Zoids_Fuzors
1747,Freedom,"action__adventure__sci-fi racing__space sunrise unknown ova 2041, earth. after being pulled into the planet's atmosphere, the fall of the freeport space station has led to the ""great cataclysm""—an event that devastated the earth's environment. left as a polluted wasteland, survivors go to war with their fellows to guarantee themselves resources; in the end, these scrimmages have erased the whole existence of humanity. coincidentally, life still exists on a moon base. although it is supposedly meant as an immigration outpost for the mission to explore mars, it is soon turned into a city, both regulating and allowing its citizens to flourish. the lunar base, officially named ""the city of eden,"" holds the hope of fully colonizing the moon.

takeru, one of many citizens of eden in the year 2267, participates in ""tube races"" between gangs and groups using hovercraft-like vehicles. due to causing an accident in one of his races, takeru is sentenced to complete volunteer work outside the city. while clearing his punishment, takeru stumbles upon remains that may unravel the truth about earth and eden's genesis.

[written by mal rewrite]",https://myanimelist.net/anime/1747/Freedom
1748,Piyoko ni Omakase pyo!,"comedy__sci-fi unknown madhouse shounen ova leave it to piyoko! move over, di gi charat! 

piyoko and the black gema gema gang star in this new ova series. from the planet analogue to earth, the black gema gema gang try to kidnap dejiko and hold her ransom to find their dream of a prosperous home! 

(source: anidb)",https://myanimelist.net/anime/1748/Piyoko_ni_Omakase_pyo
1749,Amaenaide yo!!: Yasumanaide yo!!,"comedy__romance__supernatural__ecchi harem studio_deen seinen special ikko and the girls of saienji buddhist temple are participating in a game show competition and happen to win a trip to a secluded inn. at the inn, ikko is presented with the challenge of not awakening while all of the girls are sleepwalking.",https://myanimelist.net/anime/1749/Amaenaide_yo__Yasumanaide_yo
1750,Amaenaide yo!! Katsu!!: Damasarenaide yo!!,"comedy__romance__supernatural__ecchi harem studio_deen seinen special a behind the scenes special of all the main characters in amaenaide yo!! katsu!!, where they give their own personal feelings about their past experiences with the show, as well as their working experiences with their fellow cast members.",https://myanimelist.net/anime/1750/Amaenaide_yo_Katsu__Damasarenaide_yo
1751,Jikuu Bouken Nuumamonjaa,"action__comedy__fantasy unknown production_i.g unknown ova it's the night before the fair celebrating the kingdom of guardia's one thousand year anniversary. when the humans have gone to sleep for the night, excited about the next day's celebration, the monsters come out to play.

nuu and mamo are two little monsters itching to have their own adventure in time and space, and their adventure group nuumamonjaa is recruiting new members. since neither is particularly strong in the brains department, their adventure turns into a disaster as they get into one mishap after another.

a fast drinking competition, a close encounter with a robotic cat, and a high-speed car chase—this might be more adventure than the tiny duo bargained for!",https://myanimelist.net/anime/1751/Jikuu_Bouken_Nuumamonjaa
1752,Di Gi Charat: Hoshi no Tabi,"comedy unknown madhouse unknown movie dejiko decided to take a vacation and visit her home, planet di gi charat, together with puchiko, gema, and (accidentally) rabi~en~rose. however, piyoko and her aids would not let go this chance to capture her. 

(source: ann)",https://myanimelist.net/anime/1752/Di_Gi_Charat__Hoshi_no_Tabi
1753,Di Gi Charat: Kuchi Kara Bazooka,comedy unknown madhouse unknown special piyoko and her villainous friends plot for a way to use the mouth rocket to beat dejiko's laser eyes.,https://myanimelist.net/anime/1753/Di_Gi_Charat__Kuchi_Kara_Bazooka
1754,Di Gi Charat Summer Special 2000,"comedy unknown madhouse unknown tv_special the di gi charat summer special was a four episode series that aired over two days, august 22, 2000 to august 23, 2000. this was the first series that piyoko appeared in and the plot involves her attempting to hold dejiko hostage for ransom.

• summer special 2000 episode 1 - here comes pyoko-nyo!
• summer special 2000 episode 2 - it's the black gamers-nyo
• summer special 2000 episode 3 - the return of abarenbou
• summer special 2000 episode 4 - summer bug  

(source: anidb &amp; wikipedia)",https://myanimelist.net/anime/1754/Di_Gi_Charat_Summer_Special_2000
1755,Di Gi Charat Ohanami Special,"comedy unknown madhouse unknown special the ohamami special consisted of four independent episodes of di gi charat with no continuation that aired in spring 2001 in japan.

• ohanami special episode 1 - the evil settles down  
• ohanami special episode 2 - sakura sakura
• ohanami special episode 3 - long haired onii-san-nyu
• ohanami special episode 4 - don't call me rabi-en-rose  

(source: anidb &amp; wikipedia)",https://myanimelist.net/anime/1755/Di_Gi_Charat_Ohanami_Special
1756,Di Gi Charat Natsuyasumi Special,"comedy unknown madhouse unknown special the di gi charat natsuyasumi special was another four episode series set in america that aired almost a year after the original series from august 2, 2001 to august 3, 2001. the young american otaku, rodoyan, is introduced in this series.

• natsuyasumi special episode 1 - dejiko in america 1 
• natsuyasumi special episode 2 - dejiko in america 2
when puchiko wanted to get off a bus she couldn't reach the signal button, and the driver (looks just like abarenbou) kept accelerating until reaching america. soon dejiko received a letter from rod young, an american boy and a big fan of dejiko who let puchiko stay with him, inviting dejiko to america to visit them and pick puchiko up. 

• natsuyasumi special episode 3 - depurapyogebo debut
a contest of bands was about to be held at akihabara; the first prize is 10-year supply of nattou, dejiko's favorite food. she decided to enroll but couldn't find enough members or instruments. 

• natsuyasumi special episode 4 - isn't anyone here-nyo?  
dejiko and gangs of gamers went to the mountains, but when night fell people began to disappear one by one.

(source: ann, anidb &amp; wikipedia)",https://myanimelist.net/anime/1756/Di_Gi_Charat_Natsuyasumi_Special
1757,Di Gi Charat Christmas Special,"comedy unknown madhouse unknown special the christmas special aired in december 2000 and featured piyoko again attempting to capture dejiko by inviting all the characters on a cruise.

(source: wikipedia)",https://myanimelist.net/anime/1757/Di_Gi_Charat_Christmas_Special
1758,Di Gi Charat Tsuyu Specials,"comedy unknown madhouse unknown special di gi charat (call her dejiko for short) and petit charat (the cute little charat) come down to earth, where they want to be idols, or something like that. rabi~en~rose (a random girl with bunny ears) decides they're in her way of becoming an idol herself. they all end up working at gamers, where various otaku, children, and humanoid fingers walk in and act like morons.

contains:
gema no sumika
tsusode shiu engekidan (ii ne!)

(source: anidb)",https://myanimelist.net/anime/1758/Di_Gi_Charat_Tsuyu_Specials
1759,Jigen Sengokushi: Kuro no Shishi - Jinnai-hen,"action__adventure__sci-fi gore__historical__samurai tokyo_kids__minami_machi_bugyousho shounen ova the year is 1580. using an army of soldiers equipped with sophisticated weaponry, nobunaga oda is on the verge of ruling japan with an iron fist. one of his enforcers is ginnai doma - a fallen samurai reborn into an indestructible killing machine. as ginnai continues his killing spree on ninjas and those who oppose nobunaga's rule, shishimaru of the iga ninja - going against the koga ninja's plans - pursues a one-man vendetta to avenge the deaths of his comrades and kill the immortal warrior.

(source: ann)",https://myanimelist.net/anime/1759/Jigen_Sengokushi__Kuro_no_Shishi_-_Jinnai-hen
1760,Golgo 13,"action__adventure__drama adult_cast__military tokyo_movie_shinsha seinen movie after assassinating the son of business tycoon leonard dawson, golgo 13 finds himself prey to the cia and the u.s. army, whom dawson has personally hired to kill the assassin. as days pass by, dawson slowly loses his sanity as he continues to plot every attempt to kill golgo 13 even without caring about who hired the assassin to kill his son.

(source: ann)",https://myanimelist.net/anime/1760/Golgo_13
1761,Golgo 13: Queen Bee,"action__adventure__drama adult_cast__military tezuka_productions seinen ova master assassin golgo 13 is hired by the advisor of presidential candidate robert hardy to assassinate ""queen bee,"" the beautiful and deadly leader of a south american guerilla army. golgo, however, finds this job too easy and digs further information to find out the true connection between hardy and queen bee.

(source: ann)",https://myanimelist.net/anime/1761/Golgo_13__Queen_Bee
1762,Arslan Senki,"action__adventure__drama__fantasy historical animate_film__aubec unknown ova in the medieval kingdom of pars, young prince arslan confronts the hostility of his father and the disinterest of his mother, and yearns to learn more about the world. despite being surrounded by poverty and slavery, arslan persists in seeing the possibility of a nobler world. everything changes when the neighboring nation of lusitania invades pars, and arslan is forced to grow up in an instant.

arslan senki follows prince arslan to war, where he struggles to save his nation and family with the help of a small but devoted circle of advisers. along the way the young prince finds secrets around every corner and faces enemies who hate him because of what he is, but also finds friends where he least expects them. the story of nations at war, arslan senki is also the story of one boy's quest to stay himself in the most trying of circumstances.",https://myanimelist.net/anime/1762/Arslan_Senki
1763,Midnight Panther,"action__adventure__fantasy__hentai unknown arms unknown ova based on the best-selling comics from cpm manga! the traveling musical group the pussycats is the hottest thing around. lou, kei and sonya are three, sexy singers with a legion of screaming fans in every town. but these pussycats have claws. 

singers by day, assassins by night. unbeknownst to their fans, the pussy cats are also the midnight panthers—female assassins who will kill anyone if the price is right! their next target is a despotic king who rules by fear and crushes dissension with an iron fist. but for one of the panthers, it's not just another job... it's personal. 

(source: anidb)",https://myanimelist.net/anime/1763/Midnight_Panther
1764,Slam Dunk (Movie),"sports school__team_sports toei_animation shounen movie sakuragi and the shohoku team takes on oda and takezono high school. this is sakuragi's second match as he faces oda, a basketball player who went to the same junior high.

(source: ann)",https://myanimelist.net/anime/1764/Slam_Dunk_Movie
1765,Vampire Sensou,"supernatural super_power__vampire toei_animation unknown ova due to his involvement with an international terrorist group, kuki kosaburo flees to france to live under an assumed identity. kuki has few worries, now spending his time enjoying alcohol and women—until french government agent george lasaar captures him for his crimes. but rather than throwing him in jail, lasaar offers kuki a deal: in exchange for his freedom, kuki must help him investigate the american central intelligence agency's operations in france. kuki soon becomes entangled in a strange plot involving the blood of famous pop star lamia vindaw, leading him to discover another opposing group that he never imagined even existed.

[written by mal rewrite]",https://myanimelist.net/anime/1765/Vampire_Sensou
1766,Youseiki Suikoden,"action__fantasy martial_arts j.c.staff unknown ova in the early 21st century, an earthquake destroyed tokyo. japan lost its center of government and industry, and turned into a lawless territory. looking for his sister, takateru suga learns that she was kidnapped by the powerful koryukai gang. he decides to ally himself with a drag queen, two ex-mercenaries and a nun to destroy the crime organization and save his sister!",https://myanimelist.net/anime/1766/Youseiki_Suikoden
1767,Psycho Diver: Mashou Bosatsu,"horror__sci-fi gore__psychological madhouse__studio_junio unknown ova psycho divers are people who, through technology, are able to enter an individual’s psyche where they can directly address any psychological issues. due to his reputation as one of the most skilled divers, busujima is hired to remedy popular musician yuki kano's bouts of psychosis that prevent her from singing. however, when he learns that a previous diver has died trying to help yuki, and that her mental condition has a strange connection to a religious cult, busujima wonders if he will be able to make it out of her mind alive.

[written by mal rewrite]",https://myanimelist.net/anime/1767/Psycho_Diver__Mashou_Bosatsu
1768,Kikaider 01 The Animation,"action__adventure__drama__sci-fi mecha radix__studio_ox shounen ova ever since the fall of the dark organization, jiro has been wandering everywhere and wondering if he would ever see mitsuko again or not. during his journey jiro meets a beautiful girl named rieko who is protecting akira, a little boy from the evil professor gill. ironicly, he's the son of professor gill, but he is also the key to gill’s menacing secret weapon and his plans to conquer the world.

(source: ann)",https://myanimelist.net/anime/1768/Kikaider_01_The_Animation
1769,Oh! Super Milk-chan,"action__comedy__sci-fi parody pierrot unknown tv milk-chan is a drooling, potty-mouthed baby who lives in an apartment with an obsolete robot named tetsuko, a slug named hanage, and an uncontrollable pet named robodog. whenever the president calls, milk-chan and the gang rush to the scene to solve any type of problem - whether it's stopping a money counterfeiter hungry for belgian waffles or counselling a school of drunk fish. at the same time, they have to avoid a nagging landlord, as they're six months behind their rent.

(source: ann)",https://myanimelist.net/anime/1769/Oh_Super_Milk-chan
1770,Unbalance,"hentai unknown at-2 unknown ova the hungry bear is a restaurant where carnal appetites are satisfied to order. the waitress, mika, has just uncovered the secret life of her late sister, a woman who would perform any sexual act, no matter how bizarre! but the secret's all in the sauce, and mika vows to service her clientele's insatiable appetite for the exotic!

(source: anidb)",https://myanimelist.net/anime/1770/Unbalance
1771,Ring ni Kakero 1: Nichibei Kessen-hen,"sports combat_sports toei_animation shounen tv immediately after ryuuji takane won the champion carnival, the u.s. junior champion black shaft appeared, and challenged the best japan has to offer, just before the world tournament is about to happen. now ryuuji, takeshi kawai, kazuki shinatora, ishimatsu katori, and superstar jun kenzaki have to prove to not only black shaft, but the world, that they are truly world-class boxers before the world tournament starts. but shaft is not recruiting boxers for his challenge, but instead gets a life-timer criminal from death row, the leader of the great angels, one of the toughest gangs in america, a mysterious woman, and the ""dark emperor of the south"". also, shaft negotiates with don juliano, the italian junior champion, just in case...

(source: ann)",https://myanimelist.net/anime/1771/Ring_ni_Kakero_1__Nichibei_Kessen-hen
1772,Seishoujo Kantai Virgin Fleet,"fantasy__sci-fi military__school aic unknown ova in the pre-wwii era, nakano naval academy's special school for girls is codenamed ""virgin fleet"". these girls are gifted with a special form of power known as ""virgin energy"". with the fear of another russo-japanese war imminent, rookie pilot shiokaze umino must hone her powers to save japan from complete destruction.

(source: anidb)",https://myanimelist.net/anime/1772/Seishoujo_Kantai_Virgin_Fleet
1773,Hokuto no Ken: Raoh Gaiden Junai-hen,"action__adventure martial_arts tms_entertainment shounen movie kenshiro is the heir of the legendary martial arts known as hokuto shinken, which can kill a man with a single blow, by striking the pressure points in the enemy's body. hokuto shinken can be passed only to one successor at a time. when he was chosen as the successor, he parted ways with his brothers, toki and raoh. the former decided to use what he knew of the art to cure people... while the latter has chosen to use his supreme strength to install peace in the world by power. 
kenshiro is accompanied by lynn and bart, and the movie's story begins when an overlord starts kidnapping children to use them as slaves for building his own pyramid... 

(source: anidb)",https://myanimelist.net/anime/1773/Hokuto_no_Ken__Raoh_Gaiden_Junai-hen
1774,Heat Guy J: Toriko - Angel,"action__adventure__sci-fi mecha__organized_crime satelight unknown special episode 14.5

in the city of judoh, claire leonelli has inherited leadership of the mafia group ""vampire"" following the death of his father. to keep claire's and other criminal activities in check, the city's bureau of urban safety has special services division operative daisuke aurora and the super android codenamed ""j"" (whose identity is apparently kept in secrecy, as androids are banned in the city). with both of them around, crime now has little room to breathe in judoh.

(source: ann)",https://myanimelist.net/anime/1774/Heat_Guy_J__Toriko_-_Angel
1775,Jikuu Tenshou Nazca,"action__adventure__drama__fantasy reincarnation radix unknown tv miura kyoji, a dedicated kendo student, discovers that his shisho (master) tate masanari is a reincarnated incan warrior named yawaru who wishes to destroy the world to purify it. kyoji himself is the warrior bilka, who foiled yawaru's plans in their previous lives. yawaru gathers other awakened spirits to release the powers of nature. now kyoji must wrestle with his own fate and decide if he is merely a vessel for the reincarnated soul or if he is truly miura kyoji and which will be better able to save the world and the future as he knows it. 

(source: ann)",https://myanimelist.net/anime/1775/Jikuu_Tenshou_Nazca
1776,Bulg-eunmae,"unknown martial_arts__super_power unknown unknown movie gang terror and chaos reign in the land of chungwon. the camelia blossoms are the most powerful of the warring gangs and they use this time of unrest to wrestle control of the country from the ailing peoples government, while also producing counterfeit gold coins to cripple the struggling economy. the only hope of freedom lies with the enigmatic red hawk.

(source: ann)",https://myanimelist.net/anime/1776/Bulg-eunmae
1777,Kaze no Tairiku,"action__adventure__fantasy__supernatural unknown production_i.g unknown movie three adventurers—a warrior, a priest, and a young woman—traverse a land devastated by centuries of environmental calamities searching only for a way to survive. in their journeys they stumble across first the remains of a band of desperate treasure-hunters, and then the treasure they were seeking: azec sistra, the legendary city of the dead. unfortunately, the bandits responsible for slaughtering the treasure-hunters have also found their way to the city, but more worrisome still are the guardians which protect azec sistra from those who would violate the spirits at rest there...

(source: ann)",https://myanimelist.net/anime/1777/Kaze_no_Tairiku
1778,Dae Jang Geum: Jang Geum's Dream,"adventure__comedy__gourmet historical unknown unknown tv story is about the girl jang geum who wants to be a cook. she gets accepted as a palace servant. clever and cheerful jang geum quickly finds friends. but all to soon she encounters intrigue and corruption. 

a korean/japanese joint production.",https://myanimelist.net/anime/1778/Dae_Jang_Geum__Jang_Geums_Dream
1779,Bakunyuu Shimai,"hentai unknown y.o.u.c unknown ova one night, whilst impoverished student tashiro shinji was sleeping in his apartment, a beautiful and naked girl appeared in a flash of light. in fact, she's actually an alien named julia who is searching for her elder sister.

(source: animenfo)",https://myanimelist.net/anime/1779/Bakunyuu_Shimai
1780,Choukou Tenshi Escalayer,"sci-fi__hentai mythology__super_power chaos_project unknown ova sayuka kouenji, is the escalayer, guardian of the earth against the dark forces of the dielast. by her side is the android madoka, and it is madoka's job to track and recharge the source of sayuka's power, the doki doki dynamo. located within sayuka's body, the doki doki dynamo can only be recharged when sayuka experiences a high level of sexual arousal which, until recently, madoka has been able to provide her. with unacceptably low energy levels facing them, madoka brings in the assistance of kyohei yanase, a boy from sayuka's school. kyohei once harboured a crush for sayuka, and his sexual prowess could not have come sooner. for now arrayed against these three defenders of the earth is the dielast version of the escalayer, the fm77, who is ruthless in combat, and brimming with violent desire.

(source: ann)",https://myanimelist.net/anime/1780/Choukou_Tenshi_Escalayer
1781,Hi.Me.Go.To,"hentai unknown chaos_project unknown ova takashi has a loving girlfriend, but when it comes time to do the dirty deed, he finds himself unable to perform. on a train ride following this incident, takashi discovers his teacher, misaki, getting touched by a subway groper. strangely though, instead of getting upset, misaki seems to be enjoying it. and much to his own surprise, takashi does too.

thus begins takashi's journey as a pupil to his teacher in a most carnal sense when they meet on the train every morning. as he explores his desires with his teacher, takashi becomes a more confident lover. but will his new knowledge help takashi become closer to his beloved girlfriend? or scare her away?",https://myanimelist.net/anime/1781/HiMeGoTo
1782,Hyakki,"horror__hentai unknown arms unknown ova a group of young adults have decided to travel to a mysterious island through a tour line. the island has been deserted of human life and the ruins of a once promising city continue to decay. each of the group members have a reason to visit the island, including returning to their former homes or embarking on a scavenger hunt. during their visit, strange events start to take place and past memories and sexual emotions began to surface among the group. the tour takes a turn for the worst when several of tourists are found murdered, showing that someone remains on the desolated island.

(source: ann)",https://myanimelist.net/anime/1782/Hyakki
1783,Imouto Jiru,"hentai unknown t-rex unknown ova akira's father, an archaeologist, has remarried, giving him a new stepmother and three stepsisters, yuki, nana and miu. while on his honeymoon, akira's father makes an archaeological find and decides to stay on site in order to supervise and leaving akira at home alone with his new family members. after being discovered in bed with yukie, his stepmother, akira finds a box containing a scroll and three bottles. using the knowledge his father taught to him, he reads the sumarian language on the scroll and finds himself in a contract with the goddess inana, who tells him to collect the love juices of his sisters in the bottles before the next full moon or else a terrible horror will befall him.

(source: ann)",https://myanimelist.net/anime/1783/Imouto_Jiru
1784,Injuu Nerawareta Hanayome,"hentai unknown pp_project unknown ova a young servant, sanshiro, who has fallen in love with his master's daughter, momoyo, tortures himself with lustful thoughts as he spies on the buxom young woman from a hole in her ceiling. full of despair on the day her fiancée returns from abroad to take her away, sanshiro watches in amazement as momoyo and her fiancée engage in some depraved s&amp;m activities with each other and various members of the house. as time passes, sanshiro becomes convinced that these bizarre rituals are designed to summon some sort of demon, and he takes it upon himself to stop momoyo's fiancée from destroying the woman he loves.

(source: ann)",https://myanimelist.net/anime/1784/Injuu_Nerawareta_Hanayome
1785,Little Monica Monogatari,"hentai unknown y.o.u.c unknown ova will, an orphan originally from little monica, a city of culture and arts, returns to a place he hasn't been in since his childhood to contribute to it and have a reunion with his childhood friend, celia. what he doesn't know is that during his long absence, things have changed for the worse and little monica, once a city of high culture has become a capital of degeneration. the question is can will resist the temptations offered by the city or will he succumb to it. with a little help from celia and her sisters tina and mei, as well miss meow, they just might succeed in returning little monica to its former glory.

(source: ann)",https://myanimelist.net/anime/1785/Little_Monica_Monogatari
1786,Sprite: Between Two Worlds,"comedy__romance__ecchi school j.c.staff seinen ova lately, shy manami has been flirting outrageously and sparking vicious cat-fights! afterwards, she remembers nothing. can it be that another personality seethes beneath her own? a wild woman who’ll do anything to find trouble?

(source: anidb)",https://myanimelist.net/anime/1786/Sprite__Between_Two_Worlds
